	name	cat	address	emp	vac
382	"МБДОУ ""Детский сад № 8"""	Образование дошкольное	г Владивосток, ул. Нейбута 25	64	0
383	"МБДОУ ""Детский сад № 89"""	Образование дошкольное	690013, г Владивосток, ул Шепеткова, д. 42	10	0
384	"МБДОУ ""Детский сад № 93"""	Образование дошкольное	690035, г Владивосток, ул Терешковой, д. 5, корп. А	31	2
385	"МБДОУ ""Детский сад № 97"""	Образование дошкольное	690034, г Владивосток, ул Фадеева, д. 8 Д	20	1
386	"МБДОУ ""Детский сад"" № 141"""	Образование дошкольное	690068, г Владивосток, ул Кирова, д. 34, корп. а	54	3
387	"МБОУ ""Гимназия № 1"""	Образование среднее общее	690091, г Владивосток, ул Уборевича, д. 8	119	5
388	"МБОУ ""Лицей № 3"""	Образование среднее общее	690025, г Владивосток, ул Главная, д. 39	57	0
389	"МБОУ ""Лицей № 41"""	Образование среднее общее	690016, г Владивосток, ул Борисенко, д. 22	63	0
390	"МБОУ ""ООШ № 1"""	Образование среднее общее	690087, г Владивосток, ул Баляева, д. 46	32	4
391	"МБОУ ""ООШ № 8"""	Образование среднее общее	690042, г Владивосток, тер Бухта Щитовая, д. 43	15	1
392	"МБОУ ""СОШ № 11"""	Образование среднее общее	690066, г Владивосток, пр-кт Красного Знамени, д. 123	51	0
393	"МБОУ ""СОШ № 12"""	Образование среднее общее	690024, г Владивосток, ул Успенского, д. 19	25	0
394	"МБОУ ""СОШ № 13"""	Образование среднее общее	690091, г Владивосток, ул Набережная, д. 1	49	0
395	"МБОУ ""СОШ № 14"""	Образование среднее общее	690013, г Владивосток, ул Ивановская, д. 28	50	7
396	"МБОУ ""СОШ № 16"""	Образование среднее общее	690041, г Владивосток, ул Пирогова, д. 7	41	2
397	"МБОУ ""СОШ № 17"""	Образование среднее общее	690106, г Владивосток, пр-кт Красного Знамени, д. 25, корп. а	59	2
398	"МБОУ ""СОШ № 18"""	Образование среднее общее	690078, г Владивосток, ул Хабаровская, д. 24, корп. Б	47	5
399	"МБОУ ""СОШ № 19"""	Образование среднее общее	690033, г Владивосток, ул Постышева, д. 37	48	1
400	"МБОУ ""СОШ № 2"""	Образование среднее общее	690014, г Владивосток, ул Толстого, д. 27	68	0
401	"МБОУ ""СОШ № 21"""	Образование среднее общее	690016, г Владивосток, ул Гризодубовой, д. 50	68	4
402	"МБОУ ""СОШ № 22"""	Образование среднее общее	690005, г Владивосток, ул Светланская, д. 207	72	5
403	"МБОУ ""СОШ № 23"""	Образование основное общее	690033, г Владивосток, ул Иртышская, д. 6	67	2
404	"МБОУ ""СОШ № 25"""	Образование основное общее	690011, г Владивосток, ул Никифорова, д. 41, корп. А	92	2
405	"МБОУ ""СОШ № 26"""	Образование среднее общее	690078, г Владивосток, ул Амурская, д. 14	41	0
406	"МБОУ ""СОШ № 27"""	Образование среднее общее	690021, г Владивосток, ул Черемуховая, д. 2	45	4
407	"МБОУ ""СОШ № 32"""	Образование среднее общее	690012, г Владивосток, ул Калинина, д. 153	46	3
408	"МБОУ ""СОШ № 33"""	Образование среднее общее	690080, г Владивосток, ул Сахалинская, д. 23, корп. а	62	3
409	"МБОУ ""СОШ № 35"""	Образование среднее общее	690063, г Владивосток, ул Поселковая 2-я, д. 51	65	0
410	"МБОУ ""СОШ № 37"""	Образование среднее общее	690054, г Владивосток, ул Восточная 4-я, д. 93	40	3
411	"МБОУ ""СОШ № 38"""	Образование среднее общее	690048, г Владивосток, пр-кт 100 лет Владивостоку, д. 29, корп. А	47	5
412	"МБОУ ""СОШ № 39"""	Образование среднее общее	690065, г Владивосток, ул Ялтинская, д. 18	39	1
413	"МБОУ ""СОШ № 40"""	Образование среднее общее	690014, г Владивосток, ул Толстого, д. 54	37	0
414	"МБОУ ""СОШ № 42"""	Образование среднее общее	690003, г Владивосток, ул Станюковича, д. 31, корп. А	26	0
415	"МБОУ ""СОШ № 44"""	Образование среднее общее	690025, г Владивосток, ул Успенского, д. 73	41	0
416	"МБОУ ""СОШ № 45"""	Образование среднее общее	690077, г Владивосток, ул 50 лет ВЛКСМ, д. 27	70	0
417	"МБОУ ""СОШ № 46"""	Образование среднее общее	690091, г Владивосток, ул Батарейная, д. 6	25	3
418	"МБОУ ""СОШ № 47"""	Образование среднее общее	690109, г Владивосток, ул Нейбута, д. 26	51	3
419	"МБОУ ""СОШ № 48"""	Образование среднее общее	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 133В	57	4
420	"МБОУ ""СОШ № 50"""	Образование среднее общее	690021, г Владивосток, ул Олега Кошевого, д. 26	46	2
421	"МБОУ ""СОШ № 51"""	Образование среднее общее	690018, г Владивосток, ул Вострецова, д. 9	62	1
422	"МБОУ ""СОШ № 52"""	Образование среднее общее	690048, г Владивосток, ул Овчинникова, д. 34	65	0
423	"МБОУ ""СОШ № 53"""	Образование среднее общее	690089, г Владивосток, ул Шошина, д. 27	57	3
424	"МБОУ ""СОШ № 54"""	Образование среднее общее	690092, г Владивосток, ул Пацаева, д. 2	55	0
425	"МБОУ ""СОШ № 56"""	Образование среднее общее	690014, г Владивосток, пр-кт Народный, д. 27, корп. А	58	1
426	"МБОУ ""СОШ № 57"""	Образование среднее общее	690037, г Владивосток, ул Адмирала Юмашева, д. 12, корп. Г	49	1
427	"МБОУ ""СОШ № 58"""	Образование среднее общее	690022, г Владивосток, ул Чкалова, д. 15	60	0
428	"МБОУ ""СОШ № 59"""	Образование среднее общее	690035, г Владивосток, ул Терешковой, д. 25	55	0
429	"МБОУ ""СОШ № 6"""	Образование среднее общее	690065, г Владивосток, ул Казанская, д. 4	50	0
430	"МБОУ ""СОШ № 60"""	Образование среднее общее	690105, г Владивосток, ул Русская, д. 43	79	8
431	"МБОУ ""СОШ № 61"""	Образование среднее общее	690105, г Владивосток, ул Бородинская, д. 27	65	1
432	"МБОУ ""СОШ № 62"""	Образование среднее общее	690035, г Владивосток, ул Интернациональная, д. 48	53	0
433	"МБОУ ""СОШ № 64"""	Образование среднее общее	690037, г Владивосток, ул Адмирала Кузнецова, д. 40, корп. а	49	0
434	"МБОУ ""СОШ № 65"""	Образование среднее общее	690080, г Владивосток, ул Космонавтов, д. 15	45	1
435	"МБОУ ""СОШ № 66"""	Образование среднее общее	690037, г Владивосток, ул Адмирала Кузнецова, д. 54, корп. В	40	0
436	"МБОУ ""СОШ № 67"""	Образование среднее общее	690088, г Владивосток, ул Жигура, д. 52, корп. А	63	0
437	"МБОУ ""СОШ № 68"""	Образование среднее общее	690089, г Владивосток, ул Иртышская, д. 40, корп. 1	48	0
438	"МБОУ ""СОШ № 69"""	Образование среднее общее	690087, г Владивосток, ул Сабанеева, д. 8	42	0
439	"МБОУ ""СОШ № 7"""	Образование среднее общее	690039, г Владивосток, ул Енисейская, д. 7, корп. а	58	0
440	"МБОУ ""СОШ № 72"""	Образование среднее общее	690108, г Владивосток, ул Артековская, д. 9	54	1
441	"МБОУ ""СОШ № 73"""	Образование среднее общее	690066, г Владивосток, ул Шилкинская, д. 19	63	2
442	"МБОУ ""СОШ № 74"""	Образование среднее общее	690012, г Владивосток, ул Харьковская, д. 7	83	4
443	"МБОУ ""СОШ № 77"""	Образование среднее общее	690013, г Владивосток, ул Каплунова, д. 12	38	0
444	"МБОУ ""СОШ № 78"""	Образование среднее общее	690109, г Владивосток, ул Ватутина, д. 24	53	3
445	"МБОУ ""СОШ № 80"""	Образование среднее общее	690013, г Владивосток, ул Невельского, д. 31	82	0
446	"МБОУ ""СОШ № 81"""	Образование среднее общее	690017, г Владивосток, ул Каштановая, д. 5, корп. А	35	3
447	"МБОУ ""СОШ № 82"""	Образование среднее общее	г Владивосток, ул Адмирала Горшкова, д. 26	110	3
448	"МБОУ ""СОШ № 83"""	Образование среднее общее	690105, г Владивосток, ул Анны Щетининой, д. 34	103	1
449	"МБОУ ""СОШ № 9"""	Образование среднее общее	690001, г Владивосток, ул Пушкинская, д. 39	61	1
450	"МБОУ ""ЦО № 28"""	Образование среднее общее	690001, г Владивосток, ул Светланская, д. 119, корп. Б	82	1
451	"МБОУ ""Школа № 76"""	Образование среднее общее	690014, г Владивосток, ул Писаревская, д. 6, корп. 8	42	2
452	"МБОУ ДО ""ДЮСШ ""Русич"" г. Владивостока"	Образование дополнительное детей и взрослых	690105, г Владивосток, ул Адмирала Горшкова, д. 26	72	0
453	"МБОУ ДО ""ДЮЦ"" ""ТВОРЧЕСТВО"" Г. ВЛАДИВОСТОКА"""	Образование дополнительное детей и взрослых	690014, г Владивосток, ул Некрасовская, д. 58	73	1
454	"МБОУ ДО ""ЦДТ"""	Образование дошкольное	690049, г Владивосток, ул Русская, д. 60	56	0
455	"МБОУ ДО ""ЦЕНТР ""ПОДРОСТОК"" "	Образование дополнительное детей и взрослых	690080, г Владивосток, ул Сахалинская, д. 5, корп. Б	42	5
456	"МБОУ ДО ""ЦРТДИЮ"""	Образование	690021, г Владивосток, ул Черемуховая, д. 20	46	3
457	"МБОУ ДО ""ЦРТДЮ"" ""Надежда"""	Образование	690088, г Владивосток, ул Жигура, д. 16	70	0
458	"МБОУДОД ""ДШИ № 3 Г. ВЛАДИВОСТОКА"""	Образование дошкольное	г Владивосток, ул.Волховская, 15	57	0
459	"МБОУДОД ""ДШИ № 6 г. Владивостока"""	Образование дошкольное	690039, г Владивосток, ул Русская, д. 21	51	2
460	"МБУ ""Некрополь"" "	Организация похорон и предоставление связанных с ними услуг…	г Владивосток, Партизанский пр-т, 28, корпус А, кабинет 2	88	1
461	"МБУ ""СГТ"""	Строительство автомобильных дорог и автомагистралей	690074, г Владивосток, ул Снеговая, д. 41, Предварительная запись на собеседование не нужна, приём вторник, четверг с 8-00 - 15-00, обед с 12-00 до 13-00, при себе иметь документ удостоверяющий личность;	915	11
462	"МБУ ""Центр психолого-педагогической, медицинской и социальной помощи г. Владивостока"""	Образование основное общее…	690014, г Владивосток, ул Толстого, д. 54	66	0
463	"МБУ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ НАСЕЛЕНИЯ ПО РАЗЛИЧНЫМ ВИДАМ СПОРТА г. ВЛАДИВОСТОКА"""	Деятельность физкультурно-оздоровительная	690106, г Владивосток, пр-кт Партизанский, д. 15	36	0
464	МБУ СШ ПО ГИМНАСТИКЕ	Образование дополнительное детей и взрослых	690091, г Владивосток, ул Пограничная, д. 12, корп. Б	41	2
465	МБУ СШ ПО РАЗЛИЧНЫМ ВИДАМ СПОРТА	Деятельность спортивных объектов…	690091, г Владивосток, ул Уборевича, д. 20	58	1
466	МБУ СШ ПО ФУТБОЛУ	Образование дополнительное детей и взрослых	690048, г Владивосток, ул Овчинникова, д. 14	31	0
467	"МБУ ЦСП ""АМАЗОНКА"""	Деятельность в области спорта прочая…	690091, г Владивосток, ул Батарейная, д. 2	28	0
468	"МБУДО ""ДМШ № 2 Г. ВЛАДИВОСТОКА"""	Образование дополнительное детей и взрослых	690016, г Владивосток, ул Борисенко, д. 18	56	1
469	"МБУДО ""ДШИ № 1 Г. ВЛАДИВОСТОКА"""	Образование дошкольное	690091, г Владивосток, ул Уборевича, д. 5	60	2
470	"МБУДО ""ДШИ № 4 Г. ВЛАДИВОСТОКА"""	Образование дошкольное	690037, г Владивосток, ул Адмирала Юмашева, д. 20	58	0
471	"МБУДО ""ДШИ №8 им. А.В. Воробьева г. Владивостока"""	Образование дополнительное детей и взрослых	690088, г Владивосток, ул Жигура, д. 44	43	1
472	"МБУК ""ВЦБС"""	Деятельность библиотек, архивов, музеев и прочих объектов культуры	690012, г Владивосток, ул Калинина, д. 21	160	1
473	МГУ им. адм. Г.И. Невельского	Образование высшее	690003, г Владивосток, ул Верхнепортовая, д. 50а	818	1
474	"МДОУ ""Детский сад № 14"""	Образование дошкольное	690068, г Владивосток, ул Кирова, д. 18, корп. А	23	0
475	"МДОУ ""Детский сад № 23"""	Образование дошкольное	690018, г Владивосток, ул Южно-Уральская, д. 14	16	3
476	МЕЖРАЙОННАЯ ИФНС РОССИИ № 12 ПО ПРИМОРСКОМУ КРАЮ	Деятельность органов государственного управления и местного самоуправления по вопросам общего и социально-экономического характера	690039, г Владивосток, ул Русская, д. 19	230	0
477	МЕЖРАЙОННАЯ ИФНС РОССИИ №13 ПО ПРИМОРСКОМУ КРАЮ	Деятельность территориальных органов федеральных органов исполнительной власти в городах и районах субъектов Российской Федерации	690091, г Владивосток, ул Посьетская, д. 28, корп. А	85	0
478	Министерство обороны Российской Федерации Войсковая часть 20293	Деятельность, связанная с обеспечением военной безопасности	690017, г Владивосток, ул Бархатная, д. 22, б.Артур	347	3
479	МИНИСТЕРСТВО ОБРАЗОВАНИЯ ПРИМОРСКОГО КРАЯ	Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации	690110, г Владивосток, ул Светланская, д. 22	1835	0
480	МИНИСТЕРСТВО СЕЛЬСКОГО ХОЗЯЙСТВА ПРИМОРСКОГО КРАЯ	Деятельность органов государственного управления и местного самоуправления по вопросам общего и социально-экономического характера	690007, г Владивосток, ул Морская 1-я, д. 2	47	0
481	МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ПРИМОРСКОГО КРАЯ	Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в городах и районах	690105, г Владивосток, ул Бородинская, д. 12, офис 405	70	0
482	МИНИСТЕРСТВО ТРУДА И СОЦИАЛЬНОЙ ПОЛИТИКИ ПРИМОРСКОГО КРАЯ	Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации	690091, г Владивосток, ул Пушкинская, д. 13	134	0
483	"Михайловский филиал КГУП ""Примтеплоэнерго"" "	Производство пара и горячей воды (тепловой энергии)…	692651, р-н Михайловский, с Михайловка, ул Вокзальная, д. 25	1239	25
484	"МКУ ""АДЦ"""	Предоставление прочих персональных услуг, не включенных в другие группировки	690088, г Владивосток, ул Жигура, д. 2, корп. Б	41	0
485	"МКУ ""ВГПСС"""	Деятельность по обеспечению безопасности в чрезвычайных ситуациях; деятельность по обеспечению безопасности в области использования атомной энергии	690018, г Владивосток, ул Корнилова, д. 15, корп. а	51	0
486	"МКУ ""ДОРОГИ ВЛАДИВОСТОКА"""	Строительство автомобильных дорог и автомагистралей…	690033, г Владивосток, ул Гамарника, д. 16, 4 подъезд.	н/д	1
487	"МКУ ""ДСО ВГО"""	Строительство жилых и нежилых зданий…	690091, г Владивосток, ул Пологая, д. 3, офис 204, 2-ой этаж	41	1
488	"МКУ ""ЕДДС города Владивостока"""	Деятельность по обеспечению безопасности на водных объектах	690091, г Владивосток, пр-кт Океанский, д. 30	51	2
489	"МКУ ""КРЗН"""	Операции с недвижимым имуществом за вознаграждение или на договорной основе…	690012, г Владивосток, ул Херсонская, д. 4, Собеседование по предварительной записи по телефону.	39	3
490	"МКУ ""МФЦ ВГО"""	Деятельность органов государственного управления и местного самоуправления по вопросам общего характера	690069, г Владивосток, ул Давыдова, д. 9	9	0
491	"МКУ ""Учетно-регистрационный центр Владивостока"""	Операции с недвижимым имуществом за вознаграждение или на договорной основе	690048, г Владивосток, ул Овчинникова, д. 4	58	0
492	"МКУ ""ХОЗУ администрации г. Владивостока"""	Сбор и обработка сточных вод	690018, г Владивосток, ул Корнилова, д. 15, корп. А	270	3
493	"МКУ ""ЦБ МОУ Г. ВЛАДИВОСТОКА"""	Деятельность по оказанию услуг в области бухгалтерского учета	690091, г Владивосток, ул Адмирала Фокина, д. 11, офис 7	230	4
494	МО ДВО РАН	Деятельность в области здравоохранения	690022, г Владивосток, ул Кирова, д. 95	209	3
495	"МПВ ""ВПОПАТ-1"""	Деятельность автобусного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам	690018, г Владивосток, ул Корнилова, д. 15, корп. А	411	10
496	Музей истории Дальнего Востока имени В.К.Арсеньева	Деятельность музеев	690091, г Владивосток, ул Светланская, д. 20	200	3
497	"МУПВ ""Владивостокское предприятие электрических сетей"" (МУПВ ""ВПЭС"")"	Производство, передача и распределение электроэнергии	690033, г Владивосток, ул Гамарника, д. 3	1762	13
498	"МУПВ ""Дороги Владивостока"""	Строительство автомобильных дорог и автомагистралей	690087, г Владивосток, ул Снеговая, д. 41	767	0
499	"МУПВ ""ЦЕНТРАЛЬНЫЙ"""	Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе	690091, г Владивосток, ул Уборевича, д. 7 а	46	5
500	"НАО ""РДС"""	Подготовка строительной площадки…	690002, г Владивосток, пр-кт Океанский, д. 70, корп. А	108	0
501	Находкинская больница ФГБУЗ ДВОМЦ ФМБА России	Деятельность больничных организаций	692926, г Находка, ул Павлова, д. 16	387	23
502	"Находкинский филиал КГУП ""Примтеплоэнерго"""	Производство пара и горячей воды (тепловой энергии)	692906, г Находка, пр-кт Северный, д. 61	895	37
503	Находкинский филиал ФГБОУ ВО МГУ им. Г.И. Невельского	Образование высшее	692900, г Находка, пр-кт Находкинский, д. 34	44	8
504	НПОУ ВГКК ПКС	Образование профессиональное среднее	690062, г Владивосток, пр-кт 100 лет Владивостоку, д. 18	24	0
505	"ОАО ""ВЛАДМОРРЫБПОРТ"""	Транспортная обработка грузов	690012, г Владивосток, ул Березовая, д. 25	1095	0
506	"ОАО ""Владснаб"""	Торговля оптовая неспециализированная	690054, г Владивосток, ул Пригородная 4-я, д. 5	94	2
507	"ОАО ""Владтакси"""	Аренда и управление собственным или арендованным нежилым недвижимым имуществом	г Владивосток, ул.Снеговая, 1	41	0
508	"ОАО ""ВМСУ ТОФ"""	Разборка и снос зданий	692880, г Фокино, ул Заводская, д. 5	430	0
509	"ОАО ""ВСМУ ТОФ"""	Строительство жилых и нежилых зданий	690091, г Владивосток, ул Верхнепортовая, д. 12, корп. А	387	0
510	"ОАО ""ДТЭ"""	Производство, передача и распределение электроэнергии	690091, г Владивосток, ул Уборевича, д. 10, корп. 9	187	0
511	"ОАО ""ПРИМОРЬЕ-64"""	Деятельность гостиниц и прочих мест для временного проживания…	690003, г Владивосток, ул Посьетская, д. 20	45	0
512	"ОАО ""РАДИОПРИБОР"""	Производство оружия и боеприпасов	690021, г Владивосток, ул Калинина, д. 275	10	0
513	"ОАО ""СудоФлотСервис"""	Ремонт и техническое обслуживание судов и лодок	690091, г Владивосток, ул Корабельная Набережная, д. 17, корп. А	58	0
514	"ОАО ""ТУРНИФ"""	Рыболовство морское…	690001, г Владивосток, ул Пушкинская, д. 87	637	1
515	"ОАО ""УТ ТОФ"""	Торговля розничная в неспециализированных магазинах	690990, г Владивосток, ул Верхнепортовая, д. 12, корп. Б	369	0
516	"ОАО ""ЦЭТ"""	Производство изделий из бетона для использования в строительстве	690105, г Владивосток, ул Бородинская, д. 14	123	0
517	"ОАО ""ЭТ"""	Деятельность прочего сухопутного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам…	690016, г Владивосток, ул Борисенко, д. 44, прием граждан на собеседование	244	7
518	"ОАО КБ ""Пойдем!"""	Денежное посредничество прочее	690091, г Владивосток, ул Уборевича, д. 5, корп. А	35	0
519	ОАО Новая телефонная компания 	Деятельность в области связи на базе проводных технологий	690003, г Владивосток, ул Верхнепортовая, д. 70	242	0
520	ОАО Норфес 	Деятельность водного транспорта	690003, г Владивосток, ул Нижнепортовая, д. 3	36	0
521	"ОАСО ""Находка-гарант"""	Страхование	690091, г Владивосток, ул Авроровская, д. 17	73	0
522	"Общество с ограниченной ответственностью ""ЕВРОПЛАСТ"""	Производство пластмассовых изделий, используемых в строительстве…	692778, г Артем, ул Стрельникова, д. 58, Агрекская д.8 корп.В, кв.6	22	0
523	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОАД"""	Строительство зданий	690091, г Владивосток, ул Октябрьская, д. 8, офис 5.2а	320	0
524	"ОВО по городу Спасск-Дальний - филиал ФГКУ ""УВО ВНГ России по Приморскому краю"""	Деятельность по обеспечению общественного порядка и безопасности	692245, г Спасск-Дальний, ул Ленинская, д. 10, корп. А	47	6
525	ОВО по ЗАТО г.Фокино-филиал ФГКУ УВО УМВД России по Приморскому краю	Деятельность по обеспечению общественного порядка и безопасности	692880, г Фокино, ул Ключевая, д. 2, офис 37-38	39	1
526	"ООО """"Капитал Лайф Страхование жизни"""	Страхование	г Владивосток, ул Алеутская, д. 45	85	0
527	"ООО ""25-Регион"""	Торговля розничная моторным топливом в специализированных магазинах	690002, г Владивосток, ул Некрасовская, д. 57	38	0
528	"ООО ""7-я"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах…	"690012, г Владивосток, ул Пихтовая, д. 5, корп. В, Магазин ""Дилан""."	51	1
529	"ООО ""SimФония"""	Предоставление консультационных услуг в области экологии…	"690091, г Владивосток, ул Адмирала Фокина, д. 3, Магазин бытовой техники ""Redmond smart home"""	35	0
530	"ООО ""АВАНТА"""	Деятельность гостиниц и прочих мест для временного проживания…	690014, г Владивосток, ул Гоголя, д. 41	51	0
531	"ООО ""АвтоБиз"""	Торговля автомобильными деталями, узлами и принадлежностями	690087, г Владивосток, ул Руднева, д. 14, корп. Г, офис 14	43	1
532	"ООО ""АВТОРИТЕТ- АВТО +"""	Торговля автотранспортными средствами	692770, г Артем, ул Тульская, д. 22	85	4
533	"ООО ""Автотрейд-В"""	Торговля автомобильными деталями, узлами и принадлежностями	690033, г Владивосток, ул Кубанская, д. 10, собеседование и прием граждан в г. Владивостоке	162	1
534	"ООО ""АГАТ"""	Деятельность агентств по подбору персонала…	690105, г Владивосток, ул Русская, д. 94	65	0
535	"ООО ""Агром"""	Переработка и консервирование мяса…	692916, г Находка, ул Чернышевского, д. 2	26	1
536	"ООО ""Адамаст"""	Деятельность ресторанов и услуги по доставке продуктов питания	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Cобеседование по предварительной записи по телефону, каждый вторник с 10:00-11:00;	4	0
537	"ООО ""Аделаида - 2000"""	Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах	690001, г Владивосток, ул Пушкинская, д. 40, офис 901	41	0
538	"ООО ""Азиа-Стар"""	Деятельность ресторанов и услуги по доставке продуктов питания…	"690091, г Владивосток, ул Набережная, д. 9, в здании помещения гостиницы ""Амурский залив"""	25	9
539	"ООО ""Айсприм"""	Производство прочих пищевых продуктов, не включенных в другие группировки	690087, г Владивосток, ул Руднева, д. 14	35	0
540	"ООО ""АКВАМАРИН"""	Строительство жилых и нежилых зданий	690090, г Владивосток, ул Авроровская, д. 24, офис 9, Рабочее место и собеседование по адресу: г. Вл-ок ул. Набережная, 13	1	8
541	"ООО ""АКСИОС ИНЖИНИРИНГ"""	Торговля оптовая прочими машинами и оборудованием…	690012, г Владивосток, ул Калинина, д. 42, офис 37	64	6
542	"ООО ""АКЦЕНТ"""	Строительство жилых и нежилых зданий…	690078, г Владивосток, ул Хабаровская, д. 8, офис 1	43	0
543	"ООО ""Алкоприм-Трейдинг"""	Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах…	690005, г Владивосток, ул Новоивановская, д. 2, корп. а	89	1
544	"ООО ""Алмаз"""	Перевозка грузов неспециализированными автотранспортными средствами…	692537, г Уссурийск, с Новоникольск, ул Советская, д. 152, корп. А	50	0
545	"ООО ""Алтекс"""	Торговля оптовая напитками	692023, р-н Пожарский, с Ласточка, ул Заводская, д. 19д	65	1
546	"ООО ""АЛЬВА"" обособленное подразделение № 17"	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах	690041, г Владивосток, ул Полетаева, д. 6, Собеседование по предварительной записи по телефону.	48	1
547	"ООО ""АЛЬВА"" обособленное подразделение № 25 "	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690035, г Владивосток, ул Калинина, д. 8	63	1
548	"ООО ""Альтаир"""	Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев…	690039, г Владивосток, пр-кт 100-летия Владивостока, д. 103, офис 107, Прием граждан на собеседование с предварительной записью по телефону	1	0
549	"ООО ""Альфа Влад Ойл"""	Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами	690014, г Владивосток, ул Лазо, д. 6, корп. В	24	0
550	"ООО ""АЛЬФА-БИЗНЕС"""	Деятельность по предоставлению туристических информационных услуг…	690002, г Владивосток, пр-кт Острякова, д. 13, офис 15 (506), Собеседование по адресу: г. Владивосток, Океанский проспект, д 69, офис 501, каждый вторник с 11.00 до 12.00, обязательна предварительная запись по телефону.	9	4
551	"ООО ""АльянсТелеком"""	Деятельность в области документальной электросвязи	690005, г Владивосток, ул Луговая, д. 21, ТЦ Луговая оф.462, СОБЕСЕДОВАНИЕ: ул. Зейская, 4/2	1	0
552	"ООО ""Антей"""	Рыболовство…	690039, г Владивосток, ул Русская, д. 9, корп. Б, офис 407, Отдел кадров	542	1
553	"ООО ""АПРИОРИ"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690003, г Владивосток, ул Посьетская, д. 6, офис 28, Собеседование по адресу: г. Владивосток Океанский пр., 69 оф.501 по вторникам с 10:00 до 11:00. Предварительно звонить по телефону.	10	0
554	"ООО ""АРДО"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690041, г Владивосток, ул Полетаева, д. 6, Т/ц Седанка-Сити	150	2
555	"ООО ""АРТЕМОВСКИЙ ЗАВОД ЖБИ"""	Производство изделий из бетона для использования в строительстве	г Артем, Западная 6	64	12
556	"ООО ""Асклепий"""	Деятельность в области медицины прочая	690033, г Владивосток, ул Гамарника, д. 3, корп. б	200	0
557	"ООО ""АСКОЛЬД"""	Деятельность заказчика-застройщика, генерального подрядчика…	690014, г Владивосток, ул Некрасовская, д. 90, офис 15	16	5
558	"ООО ""АСТОРИЯ"""	Деятельность гостиниц и прочих мест для временного проживания…	690106, г Владивосток, пр-кт Партизанский, д. 44	59	0
559	"ООО ""АТЛАНТИКС КОНСТРАКШН"""	Строительство жилых и нежилых зданий…	690091, г Владивосток, ул Лазо, д. 8	60	0
560	"ООО ""АТР-СТРОЙ"""	Строительство жилых и нежилых зданий…	690090, г Владивосток, ул Светланская, д. 51А	53	12
561	"ООО ""Аэро-Груз"""	Деятельность вспомогательная прочая, связанная с перевозками…	692760, г Артем, ул Владимира Сайбеля, д. 41	139	0
562	"ООО ""БАЙКАЛ"""	Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах…	690005, г Владивосток, ул Светланская, д. 150, офис 1, Собеседование по предварительному согласованию с работодателем по телефону;	50	3
563	"ООО ""Бизнес Технологии"""	Предоставление услуг парикмахерскими и салонами красоты…	692903, г Находка, ул Гагарина, д. 10	15	6
564	"ООО ""БИЗНЕС-ОПТ"""	Торговля оптовая пищевыми продуктами, напитками и табачными изделиями	690089, г Владивосток, ул Днепровская, д. 101, корп. Б	56	0
565	"ООО ""БОН ТЕКНОЛОДЖИ"""	Производство прочих пластмассовых изделий…	690024, г Владивосток, ул Вавилова, д. 42, Собеседование по адресу: г. Вл-ок, Океанский пр., 69, офис 501, каждый вторник с 11:00 до 12:00; предварительно звонить по телефону;	1	13
566	"ООО ""БОНУС ПРИМ"""	Деятельность ресторанов и услуги по доставке продуктов питания…	690022, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование по адресу: г.Владивосток, Океанский пр-кт, д.69, оф.501 каждый вторник с 11-00 до 12-00	1	7
567	"ООО ""БОСФОР ВОСТОЧНЫЙ"""	Строительство жилых и нежилых зданий…	690090, г Владивосток, ул Авроровская, д. 24, офис 11, Собеседование и рабочее место (строительная площадка) по адресу: г. Вл-ок Корабельная Набережная, 10.	1	14
